A_Index,B_Index,Jaccard_Score
0,0,1.0
1,0,0.125
1,1,0.5
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.16666666666666666
1,7,0.0
1,8,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.5714285714285714
2,4,0.2222222222222222
2,5,0.0
2,6,0.2857142857142857
2,7,0.0
2,8,0.0625
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.2857142857142857
3,4,0.5
3,5,0.0
3,6,0.16666666666666666
3,7,0.0
3,8,0.07142857142857142
4,5,1.0
5,0,0.1111111111111111
5,1,0.16666666666666666
5,2,0.0
5,3,0.25
5,4,0.1111111111111111
5,5,0.0
5,6,0.6
5,7,0.0
5,8,0.06666666666666667
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.08333333333333333
6,4,0.08333333333333333
6,5,0.16666666666666666
6,6,0.1
6,7,0.6666666666666666
6,8,0.1875
7,8,1.0
8,1,1.0
